,County,State,Race,Population Size,Total Pop,Percentage
0,Allegany ,MD,Two or more Races,1457,70416,2.069132015451034
1,Allegany ,MD,Native Hawaiian or Pacific Islander,49,70416,0.06958645762326743
2,Allegany ,MD,Black,5818,70416,8.262326743921836
3,Allegany ,MD,White,62142,70416,88.24982958418542
4,Allegany ,MD,Native American or Alaskan,153,70416,0.217280163599182
5,Allegany ,MD,Asian,797,70416,1.1318450352192684
6,Anne Arundel ,MD,Native American or Alaskan,2604,579234,0.4495592454862802
7,Anne Arundel ,MD,White,426312,579234,73.59927076103958
8,Anne Arundel ,MD,Black,105924,579234,18.286909953490298
9,Anne Arundel ,MD,Two or more Races,19271,579234,3.3269801151175518
10,Anne Arundel ,MD,Native Hawaiian or Pacific Islander,686,579234,0.11843227434853616
11,Anne Arundel ,MD,Asian,24437,579234,4.218847650517753
12,Baltimore ,MD,Native American or Alaskan,3718,827370,0.4493757327435126
13,Baltimore ,MD,White,497980,827370,60.1883075286752
14,Baltimore ,MD,Black,250909,827370,30.326093525266813
15,Baltimore ,MD,Asian,52266,827370,6.3171253489974255
16,Baltimore ,MD,Native Hawaiian or Pacific Islander,634,827370,0.07662835249042146
17,Baltimore ,MD,Two or more Races,21863,827370,2.6424695118266315
18,Baltimore City,MD,Native American or Alaskan,2732,593490,0.46032789095014237
19,Baltimore City,MD,Asian,16233,593490,2.735176666835162
20,Baltimore City,MD,Native Hawaiian or Pacific Islander,552,593490,0.09300914926957489
21,Baltimore City,MD,Two or more Races,13050,593490,2.198857605014406
22,Baltimore City,MD,Black,372277,593490,62.72675192505349
23,Baltimore City,MD,White,188646,593490,31.78587676287722
24,Calvert ,MD,Two or more Races,2996,92525,3.238043771953526
25,Calvert ,MD,Native Hawaiian or Pacific Islander,104,92525,0.1124020534990543
26,Calvert ,MD,Asian,1750,92525,1.8913807079167793
27,Calvert ,MD,Black,12286,92525,13.278573358551743
28,Calvert ,MD,White,74964,92525,81.0202647932991
29,Calvert ,MD,Native American or Alaskan,425,92525,0.4593353147797892
30,Caroline ,MD,Native American or Alaskan,290,33406,0.8681075255942047
31,Caroline ,MD,White,27058,33406,80.99742561216547
32,Caroline ,MD,Black,4717,33406,14.120217924923667
33,Caroline ,MD,Asian,400,33406,1.197389690474765
34,Caroline ,MD,Native Hawaiian or Pacific Islander,107,33406,0.32030174220199964
35,Caroline ,MD,Two or more Races,834,33406,2.496557504639885
36,Carroll ,MD,Native American or Alaskan,453,168447,0.26892731838501127
37,Carroll ,MD,Black,6597,168447,3.9163653849578797
38,Carroll ,MD,Asian,3510,168447,2.083741473579227
